Date,Event
1990-08-02,Iraq invades Kuwait - Oil Crisis
1991-01-17,Gulf War begins
1997-07-01,Asian Financial Crisis starts
2001-09-11,9/11 Terrorist Attacks
2003-03-20,Iraq War begins
2008-09-15,Lehman Brothers collapse - Global Financial Crisis
2011-02-11,Libyan Civil War starts
2014-06-01,OPEC decides to maintain production - Price drop
2016-11-30,OPEC cuts production agreement
2020-03-09,Oil price war: Saudi-Russia conflict
2020-04-20,WTI oil prices negative for first time
2021-01-06,US Capitol attack affects markets
2022-02-24,Russia-Ukraine war begins
